speech_id,stratum,date,specific_topic,speaker,speaker_country,src_tokens,src_duration,n_seg_ST,n_seg_TT,polarity_ST,polarity_TT,delta_polarity
10-03-04-m-005,II,2004-03-10,"Preparation of the European Council (Brussels, 25-26 March 2004) – Follow-up to the IGC","Roche, Dick",IRL,1521,00:08:48,62,60,0.129,0.1667,0.0377
10-03-04-m-006,II,2004-03-10,"Preparation of the European Council (Brussels, 25-26 March 2004) – Follow-up to the IGC","Kinnock, Neil",GBR,1281,00:10:03,46,47,0.087,0.1702,0.0832
11-02-04-m-045,I,2004-02-11,Nuclear disarmament,"Evans, Jillian",GBR,357,00:02:10,15,17,0.1333,0.0588,-0.0745
11-02-04-m-046,I,2004-02-11,Nuclear disarmament,"Roche, Dick",IRL,1204,00:07:38,46,40,0.2174,0.0,-0.2174
11-02-04-m-047,I,2004-02-11,Nuclear disarmament,"Patten, Christopher",GBR,1022,00:07:08,40,46,-0.075,-0.0652,0.0098
11-02-04-m-051,I,2004-02-11,Nuclear disarmament,"McKenna, Patricia",IRL,357,00:01:51,12,14,0.0833,0.0,-0.0833
11-02-04-m-053,I,2004-02-11,Nuclear disarmament,"Lucas, Caroline",GBR,227,00:01:21,13,11,0.0769,-0.0909,-0.1678
11-02-04-p-121,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Roche, Dick",IRL,1478,00:09:33,57,52,0.2632,0.0833,-0.1799
11-02-04-p-124,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Ludford, Baroness Sarah",GBR,364,00:02:04,22,14,0.1364,0.0,-0.1364
11-02-04-p-129,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Cushnahan, John Walls",IRL,637,00:03:34,27,19,0.1852,0.2105,0.0253
11-02-04-p-132,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Lucas, Caroline",GBR,396,00:02:10,17,17,0.0,-0.1176,-0.1176
11-02-04-p-140,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Roche, Dick",IRL,953,00:05:00,32,26,0.125,0.1154,-0.0096
12-02-04-m-006,I,2004-02-12,Afghanistan,"Patten, Christopher",GBR,1243,00:09:39,55,41,0.1636,0.0976,-0.066
12-02-04-m-016,I,2004-02-12,Afghanistan,"Nicholson of Winterbourne, Baroness",GBR,279,00:01:57,16,10,-0.125,-0.1,0.025
12-02-04-m-019,I,2004-02-12,Afghanistan,"Sandbaek, Ulla Margrethe",DNK,451,00:03:14,28,22,0.0,0.0909,0.0909
12-02-04-m-020,I,2004-02-12,Afghanistan,"Tannock, Timothy Charles Ayrton",GBR,320,00:02:04,12,14,0.0833,-0.1429,-0.2262
12-02-04-m-021,I,2004-02-12,Afghanistan,"Stihler, Catherine",GBR,386,00:02:15,21,17,0.0476,0.0588,0.0112
12-02-04-m-025,I,2004-02-12,Afghanistan,"Ford, Glyn",GBR,499,00:02:42,23,17,0.1304,0.0,-0.1304
12-02-04-m-027,I,2004-02-12,Afghanistan,"Deva, Nirj",GBR,381,00:02:14,18,15,0.1667,-0.1333,-0.3
