word,freq
__TOTAL__,89741
the,6653
of,3214
to,3132
and,3093
in,2206
that,1792
a,1616
i,1236
is,1216
we,1059
this,1022
on,1016
for,957
be,719
have,689
it,676
you,614
as,580
are,547
with,535
will,506
by,476
not,454
european,421
mr,405
has,376
president,370
our,363
commission,355
which,348
at,330
there,318
but,318
very,313
been,305
from,303
thank,288
would,288
an,287
all,274
also,260
two,259
one,257
union,255
was,237
they,233
if,227
can,217
parliament,217
so,208
do,208
think,207
states,205
member,204
should,201
council,200
their,190
about,186
or,180
what,179
my,175
now,168
report,167
it's,166
must,165
work,157
like,154
more,151
these,149
issue,146
need,146
some,145
europe,143
thousand,142
house,140
much,139
who,138
people,136
your,135
because,132
time,130
when,129
important,127
say,127
me,125
many,124
last,123
its,122
those,120
make,118
well,116
no,115
were,113
first,111
made,110
new,108
debate,107
out,105
want,105
just,103
other,102
take,101
i'm,100
eu,100
into,98
three,98
any,97
us,97
know,96
point,93
course,93
up,93
only,92
today,91
being,90
financial,89
proposal,89
where,88
he,86
political,86
support,85
year,85
may,85
such,85
committee,85
within,83
then,83
mrs,83
years,82
how,82
group,82
commissioner,81
said,81
than,80
agenda,78
vote,78
between,77
relation,77
had,77
question,77
human,76
could,75
good,75
members,75
right,75
public,74
issues,74
believe,74
directive,73
five,73
see,72
ensure,72
them,72
again,72
before,72
way,71
rights,71
put,71
services,70
here,70
number,70
particular,70
his,69
decision,69
give,68
fact,68
under,68
hope,68
health,68
both,67
area,67
most,65
presidency,65
amendments,65
place,64
through,64
own,64
world,63
measures,63
case,63
process,63
colleagues,63
therefore,62
level,62
countries,62
regulation,61
rapporteur,61
law,61
view,61
four,61
future,60
food,60
economic,59
social,59
community,59
let,59
indeed,58
policy,58
already,58
come,58
over,57
twenty,57
meat,57
international,56
next,56
situation,56
respect,56
matter,56
clear,55
against,55
cyprus,55
action,54
forward,54
get,54
going,53
look,53
we've,52
working,52
welcome,52
common,52
animals,52
progress,52
don't,51
per,51
citizens,50
i've,50
united,50
rules,50
development,49
better,49
cooperation,49
taken,49
lisbon,48
cannot,48
government,47
state,47
possible,47
done,47
market,46
actually,46
same,46
agreement,46
plan,45
able,45
still,45
authorities,45
however,45
industry,44
please,44
security,44
sure,44
commission's,44
framework,44
national,44
something,44
business,43
system,43
opportunity,43
there's,43
general,43
adopted,43
order,43
long,43
including,43
agencies,43
women,43
i'd,42
employment,42
legislation,42
best,42
areas,42
nine,42
clearly,42
concern,42
animal,42
particularly,42
trafficking,42
part,41
