speech_id,stratum,date,specific_topic,speaker,speaker_country,src_tokens,n_seg_ST,n_seg_TT,nrc_polarity_ST,nrc_polarity_TT,nrc_polarity_delta,valence_ST,valence_TT,valence_delta,arousal_ST,arousal_TT,arousal_delta,dominance_ST,dominance_TT,dominance_delta,pysent_polarity_ST,pysent_polarity_TT,pysent_polarity_delta,emo_dom_ST,emo_dom_TT
10-03-04-m-005,II,2004-03-10,"Preparation of the European Council (Brussels, 25-26 March 2004) – Follow-up to the IGC","Roche, Dick",IRL,1521,62,60,0.6108,0.3783,-0.2325,0.6791,0.6205,-0.0586,0.4315,0.4567,0.0252,0.6141,0.6043,-0.0098,0.2751,0.2132,-0.0619,trust,trust
10-03-04-m-006,II,2004-03-10,"Preparation of the European Council (Brussels, 25-26 March 2004) – Follow-up to the IGC","Kinnock, Neil",GBR,1281,46,47,0.5717,0.427,-0.1447,0.6462,0.6093,-0.0369,0.4497,0.4441,-0.0056,0.6257,0.5998,-0.0259,0.0775,-0.1237,-0.2012,trust,trust
11-02-04-m-045,I,2004-02-11,Nuclear disarmament,"Evans, Jillian",GBR,357,15,17,0.3689,0.2059,-0.163,0.6043,0.5718,-0.0325,0.5142,0.4686,-0.0456,0.6044,0.5647,-0.0397,0.0437,-0.1273,-0.171,trust,trust
11-02-04-m-046,I,2004-02-11,Nuclear disarmament,"Roche, Dick",IRL,1204,46,40,0.6138,0.3683,-0.2455,0.6295,0.5896,-0.0399,0.4458,0.418,-0.0278,0.6235,0.5872,-0.0363,0.3266,0.123,-0.2036,trust,trust
11-02-04-m-047,I,2004-02-11,Nuclear disarmament,"Patten, Christopher",GBR,1022,40,46,0.4167,0.3178,-0.0989,0.6124,0.5827,-0.0297,0.4925,0.4579,-0.0346,0.6393,0.5901,-0.0492,0.1352,0.0871,-0.0481,trust,trust
11-02-04-m-051,I,2004-02-11,Nuclear disarmament,"McKenna, Patricia",IRL,357,12,14,0.7222,0.431,-0.2912,0.696,0.5664,-0.1296,0.4692,0.4603,-0.0089,0.6179,0.5741,-0.0438,0.2852,0.0347,-0.2505,trust,trust
11-02-04-m-053,I,2004-02-11,Nuclear disarmament,"Lucas, Caroline",GBR,227,13,11,0.0564,0.2,0.1436,0.5448,0.5288,-0.016,0.5132,0.4993,-0.0139,0.5893,0.6418,0.0525,-0.316,-0.6057,-0.2897,trust,trust
11-02-04-p-121,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Roche, Dick",IRL,1478,57,52,0.5663,0.3487,-0.2176,0.6496,0.6002,-0.0494,0.4383,0.4326,-0.0057,0.6092,0.5849,-0.0243,0.1637,0.1099,-0.0538,trust,trust
11-02-04-p-124,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Ludford, Baroness Sarah",GBR,364,22,14,-0.2212,0.2976,0.5188,0.5749,0.5526,-0.0223,0.4896,0.4878,-0.0018,0.5798,0.5578,-0.022,-0.2265,-0.4261,-0.1996,fear,anticipation
11-02-04-p-129,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Cushnahan, John Walls",IRL,637,27,19,0.2363,0.4386,0.2023,0.5641,0.5566,-0.0075,0.4604,0.4987,0.0383,0.5987,0.6064,0.0077,-0.4658,-0.5273,-0.0615,trust,trust
11-02-04-p-132,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Lucas, Caroline",GBR,396,17,17,-0.0797,-0.2106,-0.1309,0.577,0.5284,-0.0486,0.4613,0.4537,-0.0076,0.5802,0.5349,-0.0453,-0.4386,-0.5544,-0.1158,trust,trust
11-02-04-p-140,I,2004-02-11,Position of the European Union on the hearing in the International Court of Justice on the Israeli wall,"Roche, Dick",IRL,953,32,26,0.2155,0.3548,0.1393,0.6238,0.5844,-0.0394,0.4316,0.433,0.0014,0.5828,0.5589,-0.0239,0.0156,-0.0928,-0.1084,trust,trust
12-02-04-m-006,I,2004-02-12,Afghanistan,"Patten, Christopher",GBR,1243,55,41,0.5382,0.4526,-0.0856,0.6398,0.6017,-0.0381,0.4588,0.4443,-0.0145,0.5979,0.574,-0.0239,0.2842,0.0882,-0.196,trust,trust
12-02-04-m-016,I,2004-02-12,Afghanistan,"Nicholson of Winterbourne, Baroness",GBR,279,16,10,-0.0021,0.16,0.1621,0.5773,0.4741,-0.1032,0.4926,0.5077,0.0151,0.6266,0.5523,-0.0743,-0.3701,-0.5257,-0.1556,fear,trust
12-02-04-m-019,I,2004-02-12,Afghanistan,"Sandbaek, Ulla Margrethe",DNK,451,28,22,-0.0714,0.197,0.2684,0.5967,0.5409,-0.0558,0.4707,0.4185,-0.0522,0.5867,0.5244,-0.0623,-0.2438,-0.3286,-0.0848,anger,anticipation
12-02-04-m-020,I,2004-02-12,Afghanistan,"Tannock, Timothy Charles Ayrton",GBR,320,12,14,0.1123,0.5714,0.4591,0.5951,0.631,0.0359,0.488,0.4804,-0.0076,0.6184,0.6268,0.0084,-0.2802,-0.2217,0.0585,trust,trust
12-02-04-m-021,I,2004-02-12,Afghanistan,"Stihler, Catherine",GBR,386,21,17,0.0794,0.2745,0.1951,0.5832,0.5886,0.0054,0.4397,0.4626,0.0229,0.5502,0.5649,0.0147,0.1104,-0.152,-0.2624,trust,trust
12-02-04-m-025,I,2004-02-12,Afghanistan,"Ford, Glyn",GBR,499,23,17,0.481,0.0206,-0.4604,0.5971,0.5352,-0.0619,0.438,0.4687,0.0307,0.5644,0.5597,-0.0047,-0.2573,-0.4776,-0.2203,trust,trust
12-02-04-m-027,I,2004-02-12,Afghanistan,"Deva, Nirj",GBR,381,18,15,0.25,0.5778,0.3278,0.64,0.5877,-0.0523,0.4254,0.4475,0.0221,0.5639,0.5677,0.0038,0.21,0.1761,-0.0339,trust,trust
12-02-04-m-031,I,2004-02-12,Reinvigorating EU actions on human rights and democratisation with Mediterranean partners,"Patten, Christopher",GBR,1304,54,48,0.6708,0.5028,-0.168,0.6575,0.6108,-0.0467,0.4332,0.4256,-0.0076,0.6128,0.5821,-0.0307,0.3917,0.2962,-0.0955,trust,anticipation
12-02-04-m-037,I,2004-02-12,Reinvigorating EU actions on human rights and democratisation with Mediterranean partners,"McMillan-Scott, Edward H.C.",GBR,687,25,24,0.7,0.5139,-0.1861,0.6833,0.6381,-0.0452,0.4309,0.4278,-0.0031,0.6122,0.5945,-0.0177,0.276,0.0774,-0.1986,trust,trust
12-02-04-m-044,I,2004-02-12,Reinvigorating EU actions on human rights and democratisation with Mediterranean partners,"Patten, Christopher",GBR,688,28,27,0.481,0.4938,0.0128,0.6244,0.5838,-0.0406,0.4518,0.4777,0.0259,0.5941,0.5941,0.0,0.1603,0.1232,-0.0371,trust,trust
12-02-04-p-127,I,2004-02-12,Elections in Iran,"Tannock, Timothy Charles Ayrton",GBR,178,9,5,0.3148,0.24,-0.0748,0.6428,0.5388,-0.104,0.4969,0.4984,0.0015,0.6422,0.6179,-0.0243,0.3272,-0.011,-0.3382,trust,anticipation
