role,speech_id,seg_index,pysent_label,pysent_pos,pysent_neg,pysent_neu,pysent_polarity
ST,10-03-04-m-005,0,POS,0.9807,0.0016,0.0177,0.9792
ST,10-03-04-m-005,1,POS,0.9908,0.0012,0.008,0.9896
ST,10-03-04-m-005,2,NEU,0.1025,0.0032,0.8942,0.0993
ST,10-03-04-m-005,3,NEU,0.0212,0.0068,0.9719,0.0144
ST,10-03-04-m-005,4,POS,0.7411,0.002,0.2569,0.7391
ST,10-03-04-m-005,5,NEU,0.0429,0.0028,0.9543,0.0401
ST,10-03-04-m-005,6,POS,0.9791,0.0013,0.0196,0.9778
ST,10-03-04-m-005,7,NEU,0.2607,0.0037,0.7356,0.257
ST,10-03-04-m-005,8,NEU,0.1376,0.0022,0.8602,0.1354
ST,10-03-04-m-005,9,NEU,0.0231,0.0079,0.969,0.0152
ST,10-03-04-m-005,10,NEU,0.0248,0.0039,0.9714,0.0209
ST,10-03-04-m-005,11,NEU,0.0222,0.005,0.9728,0.0172
ST,10-03-04-m-005,12,NEU,0.0775,0.0026,0.9199,0.0749
ST,10-03-04-m-005,13,NEU,0.0248,0.0048,0.9704,0.02
ST,10-03-04-m-005,14,NEU,0.0063,0.2635,0.7302,-0.2572
ST,10-03-04-m-005,15,NEU,0.007,0.1276,0.8654,-0.1205
ST,10-03-04-m-005,16,NEU,0.1588,0.0041,0.8371,0.1546
ST,10-03-04-m-005,17,NEU,0.0326,0.0047,0.9627,0.0279
ST,10-03-04-m-005,18,NEU,0.0603,0.0025,0.9372,0.0578
ST,10-03-04-m-005,19,NEU,0.0475,0.003,0.9495,0.0446
ST,10-03-04-m-005,20,NEU,0.0252,0.0057,0.9691,0.0195
ST,10-03-04-m-005,21,POS,0.9746,0.0011,0.0242,0.9735
ST,10-03-04-m-005,22,POS,0.815,0.002,0.183,0.8129
ST,10-03-04-m-005,23,NEU,0.3139,0.0041,0.682,0.3098
ST,10-03-04-m-005,24,POS,0.9745,0.0011,0.0244,0.9735
ST,10-03-04-m-005,25,NEU,0.0586,0.0041,0.9373,0.0545
ST,10-03-04-m-005,26,POS,0.9832,0.0013,0.0155,0.9819
ST,10-03-04-m-005,27,POS,0.9905,0.0014,0.0081,0.9891
ST,10-03-04-m-005,28,NEU,0.0336,0.1007,0.8658,-0.0671
ST,10-03-04-m-005,29,NEU,0.466,0.0025,0.5315,0.4636
ST,10-03-04-m-005,30,NEU,0.0249,0.004,0.9711,0.0209
ST,10-03-04-m-005,31,NEU,0.0675,0.0042,0.9283,0.0633
ST,10-03-04-m-005,32,NEU,0.374,0.0025,0.6235,0.3715
ST,10-03-04-m-005,33,NEU,0.2196,0.0055,0.7749,0.2141
ST,10-03-04-m-005,34,NEU,0.0135,0.0317,0.9548,-0.0182
ST,10-03-04-m-005,35,POS,0.9063,0.0022,0.0916,0.9041
ST,10-03-04-m-005,36,NEU,0.008,0.0259,0.9661,-0.0179
ST,10-03-04-m-005,37,NEU,0.0496,0.0091,0.9413,0.0404
ST,10-03-04-m-005,38,NEU,0.0182,0.0109,0.9709,0.0073
ST,10-03-04-m-005,39,POS,0.8266,0.0021,0.1713,0.8245
ST,10-03-04-m-005,40,NEU,0.2611,0.0044,0.7345,0.2566
ST,10-03-04-m-005,41,NEU,0.0138,0.0136,0.9726,0.0002
ST,10-03-04-m-005,42,POS,0.5831,0.0048,0.4121,0.5782
ST,10-03-04-m-005,43,POS,0.7322,0.0031,0.2647,0.7291
ST,10-03-04-m-005,44,NEU,0.0192,0.0084,0.9724,0.0107
ST,10-03-04-m-005,45,NEU,0.0099,0.0806,0.9094,-0.0707
ST,10-03-04-m-005,46,NEG,0.0037,0.8506,0.1457,-0.8469
ST,10-03-04-m-005,47,NEU,0.067,0.0064,0.9265,0.0606
ST,10-03-04-m-005,48,NEG,0.0097,0.761,0.2293,-0.7514
ST,10-03-04-m-005,49,NEG,0.0023,0.9646,0.0331,-0.9623
ST,10-03-04-m-005,50,NEU,0.0099,0.41,0.5801,-0.4001
ST,10-03-04-m-005,51,NEU,0.0111,0.1184,0.8706,-0.1073
ST,10-03-04-m-005,52,NEU,0.0075,0.086,0.9064,-0.0785
ST,10-03-04-m-005,53,NEU,0.1007,0.0399,0.8594,0.0608
ST,10-03-04-m-005,54,POS,0.9488,0.0016,0.0495,0.9472
ST,10-03-04-m-005,55,POS,0.8736,0.0017,0.1246,0.8719
ST,10-03-04-m-005,56,POS,0.9171,0.0017,0.0812,0.9154
ST,10-03-04-m-005,57,POS,0.7778,0.0022,0.2201,0.7756
ST,10-03-04-m-005,58,POS,0.9456,0.002,0.0523,0.9436
ST,10-03-04-m-005,59,POS,0.7236,0.0046,0.2718,0.719
ST,10-03-04-m-005,60,NEU,0.2281,0.0104,0.7615,0.2178
ST,10-03-04-m-005,61,POS,0.9807,0.0016,0.0177,0.9792
ST,10-03-04-m-006,0,POS,0.9779,0.0014,0.0207,0.9765
ST,10-03-04-m-006,1,NEG,0.0046,0.8161,0.1793,-0.8115
ST,10-03-04-m-006,2,POS,0.9827,0.0011,0.0162,0.9816
ST,10-03-04-m-006,3,POS,0.8036,0.0023,0.1941,0.8013
ST,10-03-04-m-006,4,NEU,0.0137,0.4638,0.5225,-0.4501
ST,10-03-04-m-006,5,NEU,0.0146,0.3671,0.6183,-0.3525
ST,10-03-04-m-006,6,POS,0.6919,0.0024,0.3058,0.6895
ST,10-03-04-m-006,7,POS,0.5048,0.0029,0.4922,0.5019
ST,10-03-04-m-006,8,NEU,0.0277,0.0096,0.9627,0.0181
ST,10-03-04-m-006,9,NEU,0.1217,0.0096,0.8687,0.1122
ST,10-03-04-m-006,10,POS,0.9758,0.0011,0.023,0.9747
ST,10-03-04-m-006,11,NEU,0.0277,0.0113,0.961,0.0164
ST,10-03-04-m-006,12,POS,0.5832,0.0027,0.4141,0.5805
ST,10-03-04-m-006,13,NEG,0.0053,0.6956,0.2991,-0.6902
ST,10-03-04-m-006,14,NEU,0.0078,0.4146,0.5776,-0.4068
ST,10-03-04-m-006,15,NEG,0.0043,0.7158,0.2799,-0.7116
ST,10-03-04-m-006,16,NEU,0.1224,0.072,0.8056,0.0504
ST,10-03-04-m-006,17,NEU,0.3807,0.0041,0.6152,0.3766
ST,10-03-04-m-006,18,NEU,0.0213,0.3679,0.6109,-0.3466
ST,10-03-04-m-006,19,NEG,0.0097,0.5595,0.4307,-0.5498
ST,10-03-04-m-006,20,NEG,0.006,0.8155,0.1785,-0.8095
ST,10-03-04-m-006,21,NEG,0.0038,0.8337,0.1625,-0.8298
ST,10-03-04-m-006,22,NEU,0.081,0.0057,0.9133,0.0753
ST,10-03-04-m-006,23,POS,0.686,0.0049,0.3091,0.6811
ST,10-03-04-m-006,24,NEU,0.1067,0.0094,0.8839,0.0974
ST,10-03-04-m-006,25,NEU,0.3211,0.0407,0.6383,0.2804
ST,10-03-04-m-006,26,NEU,0.0461,0.0403,0.9136,0.0057
ST,10-03-04-m-006,27,NEU,0.0097,0.018,0.9723,-0.0083
ST,10-03-04-m-006,28,NEU,0.0572,0.039,0.9039,0.0182
ST,10-03-04-m-006,29,NEG,0.0028,0.8619,0.1353,-0.8591
ST,10-03-04-m-006,30,POS,0.5828,0.004,0.4133,0.5788
ST,10-03-04-m-006,31,NEU,0.0347,0.0171,0.9482,0.0176
ST,10-03-04-m-006,32,NEU,0.089,0.0064,0.9046,0.0825
ST,10-03-04-m-006,33,POS,0.834,0.0022,0.1638,0.8318
ST,10-03-04-m-006,34,NEU,0.1114,0.0031,0.8855,0.1083
ST,10-03-04-m-006,35,NEU,0.0526,0.0065,0.941,0.0461
ST,10-03-04-m-006,36,NEU,0.0978,0.1074,0.7948,-0.0095
ST,10-03-04-m-006,37,NEG,0.0031,0.8625,0.1344,-0.8593
ST,10-03-04-m-006,38,NEU,0.1291,0.0048,0.8661,0.1243
ST,10-03-04-m-006,39,NEU,0.0694,0.0135,0.9172,0.0559
ST,10-03-04-m-006,40,POS,0.8488,0.003,0.1482,0.8458
ST,10-03-04-m-006,41,NEU,0.0909,0.0214,0.8877,0.0696
ST,10-03-04-m-006,42,NEG,0.0044,0.8278,0.1678,-0.8234
